time,f1,pr_auc,n,n_pos,regime,model,features,seed
8,0.09731373542828181,0.0322171774593782,654467,514,temporal,xgb,base,0
9,0.20307692307692307,0.10727643900911492,208325,442,temporal,xgb,base,0
10,0.44518272425249167,0.9580346589928925,396,232,temporal,xgb,base,0
11,0.5321888412017167,0.9755694729346573,281,170,temporal,xgb,base,0
12,0.3787878787878788,0.9429280385105181,184,106,temporal,xgb,base,0
13,0.48936170212765956,0.9600045036889376,121,70,temporal,xgb,base,0
14,0.6,0.9680537518730921,46,28,temporal,xgb,base,0
15,0.375,0.9939551829936444,46,26,temporal,xgb,base,0
16,0.5714285714285714,1.0,23,15,temporal,xgb,base,0
17,0.4,1.0,11,8,temporal,xgb,base,0
8,0.09731373542828181,0.0322171774593782,654467,514,temporal,xgb,base,1
9,0.20307692307692307,0.10727643900911492,208325,442,temporal,xgb,base,1
10,0.44518272425249167,0.9580346589928925,396,232,temporal,xgb,base,1
11,0.5321888412017167,0.9755694729346573,281,170,temporal,xgb,base,1
12,0.3787878787878788,0.9429280385105181,184,106,temporal,xgb,base,1
13,0.48936170212765956,0.9600045036889376,121,70,temporal,xgb,base,1
14,0.6,0.9680537518730921,46,28,temporal,xgb,base,1
15,0.375,0.9939551829936444,46,26,temporal,xgb,base,1
16,0.5714285714285714,1.0,23,15,temporal,xgb,base,1
17,0.4,1.0,11,8,temporal,xgb,base,1
8,0.09731373542828181,0.0322171774593782,654467,514,temporal,xgb,base,2
9,0.20307692307692307,0.10727643900911492,208325,442,temporal,xgb,base,2
10,0.44518272425249167,0.9580346589928925,396,232,temporal,xgb,base,2
11,0.5321888412017167,0.9755694729346573,281,170,temporal,xgb,base,2
12,0.3787878787878788,0.9429280385105181,184,106,temporal,xgb,base,2
13,0.48936170212765956,0.9600045036889376,121,70,temporal,xgb,base,2
14,0.6,0.9680537518730921,46,28,temporal,xgb,base,2
15,0.375,0.9939551829936444,46,26,temporal,xgb,base,2
16,0.5714285714285714,1.0,23,15,temporal,xgb,base,2
17,0.4,1.0,11,8,temporal,xgb,base,2
8,0.3836734693877551,0.32697773180437983,654467,514,temporal,xgb,base_gfp,0
9,0.453781512605042,0.4400089276595488,208325,442,temporal,xgb,base_gfp,0
10,0.7336956521739131,0.9737735864939487,396,232,temporal,xgb,base_gfp,0
11,0.717948717948718,0.9348723557184847,281,170,temporal,xgb,base_gfp,0
